iter	RMSE
0	49540.80668
1	46077.72897
2	42873.60806
3	39883.77942
4	37068.45621
5	34465.52754
6	32091.64868
7	29878.06234
8	27798.81394
9	25906.9213
10	24144.42227
11	22541.4573
12	21020.45723
13	19612.98563
14	18304.35179
15	17100.31898
16	15996.29586
17	14993.57312
18	14066.43728
19	13197.82866
20	12402.95441
21	11692.66128
22	11021.85837
23	10405.06069
24	9839.655111
25	9316.748569
26	8857.841402
27	8409.168375
28	8001.842451
29	7631.095943
30	7308.07023
31	7008.533446
32	6747.902087
33	6500.618832
34	6275.843634
35	6073.136339
36	5900.347099
37	5737.814232
38	5594.399739
39	5463.158846
40	5340.935138
41	5233.963225
42	5132.293465
43	5044.381492
44	4960.190853
45	4889.452749
46	4824.373279
47	4766.000825
48	4711.447117
49	4662.732948
50	4616.305427
51	4576.547463
52	4539.826311
53	4505.169945
54	4468.771939
55	4440.188368
56	4411.107785
57	4385.080699
58	4359.617405
59	4335.370895
60	4316.191162
61	4297.396375
62	4278.307083
63	4261.251325
64	4245.289732
65	4231.530484
66	4217.765428
67	4202.531253
68	4188.040529
69	4177.276258
70	4166.149541
71	4153.736466
72	4143.715105
73	4134.973534
74	4124.671545
75	4114.493617
76	4099.550163
77	4088.039891
78	4077.055721
79	4063.782259
80	4053.815941
81	4044.696672
82	4037.344947
83	4027.140737
84	4016.339147
85	4006.928353
86	3997.987544
87	3989.720059
88	3982.344185
89	3974.597183
90	3965.173425
91	3957.650408
92	3951.82712
93	3945.941659
94	3939.062346
95	3931.26481
96	3926.240054
97	3918.711304
98	3910.280137
99	3902.486987
100	3891.567759
101	3886.658266
102	3879.384147
103	3873.665352
104	3865.610485
105	3861.122501
106	3856.58791
107	3850.403605
108	3837.867751
109	3832.453457
110	3827.970154
111	3821.261823
112	3812.028247
113	3807.477537
114	3801.891352
115	3795.194911
116	3787.043177
117	3783.048272
118	3778.48468
119	3772.19332
120	3766.963418
121	3759.79359
122	3752.509293
123	3747.457665
124	3744.148661
125	3741.415275
126	3736.678473
127	3731.734604
128	3727.812793
129	3723.282804
130	3719.112425
131	3714.247017
132	3707.457634
133	3702.701088
134	3697.906923
135	3693.945959
136	3690.288617
137	3684.101572
138	3680.534795
139	3678.272988
140	3674.975464
141	3669.436061
142	3664.060342
143	3660.200567
144	3657.584415
145	3654.329121
146	3650.344032
147	3644.924951
148	3640.907368
149	3637.3364
150	3633.557622
151	3628.864078
152	3624.725324
153	3620.686216
154	3617.319433
155	3610.769151
156	3609.020268
157	3605.401494
158	3599.88212
159	3596.423242
160	3592.325068
161	3589.945228
162	3585.884052
163	3579.941333
164	3576.132863
165	3571.816078
166	3570.01305
167	3565.179185
168	3561.628998
169	3558.573285
170	3555.710923
171	3553.918654
172	3548.708384
173	3545.639447
174	3542.007493
175	3538.854658
176	3534.143034
177	3531.254977
178	3527.155169
179	3524.090906
180	3520.218472
181	3515.06701
182	3511.089499
183	3508.262781
184	3504.791062
185	3502.921113
186	3498.662643
187	3495.016345
188	3491.674941
189	3488.180613
190	3484.545223
191	3480.84172
192	3477.919232
193	3476.084102
194	3472.993727
195	3469.406485
196	3466.981259
197	3462.755803
198	3460.606742
199	3455.978506
200	3452.25851
201	3449.360201
202	3447.230313
203	3444.008204
204	3440.48086
205	3438.267789
206	3436.233544
207	3432.009051
208	3428.763672
209	3425.892667
210	3423.025678
211	3420.359001
212	3418.260221
213	3415.667651
214	3412.597883
215	3409.660928
216	3407.902864
217	3405.238367
218	3402.850539
219	3398.493082
220	3395.418955
221	3393.885381
222	3391.040374
223	3389.369
224	3385.944954
225	3383.675954
226	3381.204826
227	3376.752669
228	3375.023992
229	3372.827249
230	3370.662783
231	3368.199233
232	3365.9185
233	3363.963685
234	3360.9662
235	3358.960578
236	3356.861829
237	3354.765709
238	3352.982226
239	3351.748333
240	3349.959608
241	3348.205185
242	3345.479954
243	3341.543926
244	3338.089305
245	3336.051866
246	3334.337524
247	3333.596345
248	3331.128426
249	3329.599952
250	3327.096735
251	3324.430131
252	3320.967462
253	3318.911519
254	3316.891285
255	3315.30932
256	3314.469087
257	3312.054557
258	3310.443916
259	3309.043231
260	3306.548845
261	3305.07266
262	3302.85664
263	3299.913167
264	3299.062163
265	3296.773301
266	3293.973686
267	3291.949836
268	3289.643818
269	3286.504275
270	3284.50738
271	3281.307695
272	3279.456509
273	3276.602754
274	3275.669556
275	3273.238469
276	3271.109335
277	3268.784911
278	3267.242092
279	3264.174717
280	3262.198965
281	3260.730231
282	3258.025516
283	3255.831977
284	3253.804105
285	3252.026347
286	3251.4373
287	3249.171976
288	3247.092121
289	3245.003106
290	3243.580698
291	3242.342577
292	3240.469091
293	3238.543411
294	3236.226678
295	3235.072413
296	3233.008624
297	3231.154464
298	3229.706589
299	3227.521852
300	3227.058787
301	3225.054909
302	3222.725644
303	3220.619717
304	3218.678655
305	3217.893034
306	3216.357594
307	3214.272558
308	3212.564867
309	3209.772584
310	3208.099361
311	3205.776805
312	3204.190993
313	3202.265574
314	3201.019636
315	3199.73914
316	3198.151483
317	3195.803732
318	3195.22423
319	3193.590437
320	3192.598554
321	3191.171841
322	3189.663867
323	3188.310439
324	3186.990673
325	3186.583593
326	3184.827544
327	3183.4601
328	3182.254193
329	3180.801844
330	3179.113355
331	3177.253027
332	3174.732866
333	3173.710479
334	3171.853733
335	3170.443881
336	3169.033324
337	3167.490072
338	3165.929161
339	3165.58084
340	3163.969271
341	3162.684865
342	3161.601327
343	3160.022947
344	3158.372412
345	3156.510589
346	3154.931888
347	3153.370353
348	3152.098142
349	3150.241842
350	3148.739666
351	3147.369169
352	3146.084105
353	3145.129108
354	3143.39032
355	3141.591796
356	3141.091267
357	3138.451502
358	3136.362965
359	3134.641905
360	3133.134346
361	3131.21154
362	3129.851393
363	3127.931705
364	3126.300392
365	3124.709592
366	3123.138775
367	3122.133805
368	3121.072991
369	3119.950279
370	3118.535349
371	3118.086008
372	3115.812092
373	3114.725263
374	3113.287744
375	3112.040213
376	3111.690581
377	3110.643177
378	3109.572044
379	3108.470187
380	3107.104588
381	3105.312444
382	3104.415148
383	3103.207106
384	3101.890982
385	3100.585101
386	3099.284232
387	3098.02855
388	3097.327651
389	3096.054164
390	3094.659694
391	3092.851606
392	3091.970089
393	3090.315136
394	3089.451827
395	3088.221072
396	3086.444561
397	3085.166355
398	3083.33889
399	3081.911691
400	3080.522607
401	3079.44329
402	3077.998705
403	3077.741822
404	3076.085724
405	3074.568383
406	3073.163753
407	3072.069116
408	3070.902836
409	3069.575239
410	3068.494313
411	3067.459104
412	3066.08526
413	3064.978865
414	3063.822291
415	3062.574525
416	3061.001978
417	3059.909004
418	3058.831668
419	3057.631486
420	3056.11813
421	3055.275862
422	3054.059224
423	3052.616465
424	3051.367419
425	3049.371137
426	3048.000753
427	3047.499129
428	3045.872221
429	3045.487615
430	3044.215226
431	3043.054513
432	3041.678568
433	3040.393986
434	3039.083408
435	3037.994002
436	3036.739266
437	3035.825074
438	3034.826202
439	3034.031861
440	3032.578341
441	3032.387342
442	3031.271639
443	3030.07645
444	3028.946138
445	3028.030148
446	3026.935836
