iter	Passed	Remaining
0	13	36375
1	23	30890
2	32	28237
3	41	27052
4	49	26156
5	59	25790
6	67	25402
7	76	24944
8	85	24898
9	95	25022
10	105	24955
11	114	24943
12	124	25002
13	133	24925
14	143	24949
15	152	24913
16	162	24880
17	172	24953
18	181	24921
19	192	25045
20	201	24956
21	212	25182
22	222	25136
23	231	25119
24	241	25096
25	251	25091
26	261	25168
27	271	25163
28	281	25151
29	291	25168
30	301	25200
31	311	25246
32	321	25220
33	330	25184
34	341	25227
35	351	25259
36	361	25296
37	372	25325
38	382	25328
39	391	25283
40	401	25280
41	411	25290
42	420	25236
43	430	25228
44	440	25237
45	450	25248
46	460	25229
47	471	25305
48	480	25276
49	492	25330
50	502	25330
51	512	25353
52	521	25320
53	532	25358
54	542	25348
55	552	25353
56	563	25380
57	573	25363
58	583	25358
59	592	25334
60	602	25309
61	611	25271
62	621	25273
63	631	25253
64	641	25266
65	651	25261
66	662	25266
67	671	25241
68	681	25247
69	691	25239
70	701	25216
71	711	25205
72	720	25182
73	729	25149
74	739	25134
75	750	25147
76	759	25136
77	770	25150
78	780	25146
79	789	25115
80	800	25124
81	811	25143
82	820	25125
83	830	25106
84	839	25063
85	849	25063
86	860	25079
87	868	25042
88	879	25039
89	889	25040
90	898	25022
91	909	25037
92	920	25041
93	929	25004
94	939	25010
95	948	24982
96	958	24982
97	969	24976
98	979	24984
99	988	24944
100	998	24944
101	1007	24922
102	1018	24916
103	1027	24891
104	1037	24888
105	1048	24908
106	1057	24882
107	1068	24888
108	1078	24894
109	1089	24895
110	1100	24903
111	1110	24914
112	1120	24908
113	1130	24895
114	1140	24880
115	1150	24877
116	1160	24872
117	1169	24833
118	1178	24808
119	1187	24774
120	1196	24757
121	1206	24752
122	1216	24728
123	1225	24711
124	1234	24687
125	1244	24679
126	1254	24665
127	1263	24641
128	1273	24623
129	1282	24600
130	1291	24581
131	1301	24567
132	1311	24561
133	1321	24559
134	1331	24550
135	1341	24536
136	1350	24507
137	1359	24490
138	1369	24484
139	1378	24464
140	1387	24434
141	1398	24447
142	1408	24445
143	1418	24426
144	1428	24415
145	1438	24410
146	1448	24402
147	1457	24388
148	1467	24371
149	1477	24365
150	1486	24338
151	1495	24326
152	1504	24300
153	1513	24269
154	1522	24253
155	1533	24257
156	1542	24241
157	1552	24224
158	1562	24220
159	1572	24213
160	1581	24195
161	1590	24177
162	1600	24163
163	1610	24154
164	1620	24149
165	1629	24134
166	1637	24099
167	1647	24086
168	1657	24072
169	1666	24058
170	1676	24045
171	1684	24020
172	1695	24026
173	1705	24010
174	1714	23999
175	1725	24002
176	1735	23994
177	1746	23997
178	1756	23988
179	1764	23960
180	1774	23949
181	1784	23943
182	1795	23946
183	1804	23934
184	1815	23929
185	1823	23899
186	1833	23896
187	1843	23891
188	1854	23886
189	1863	23870
190	1872	23851
191	1881	23834
192	1890	23818
193	1900	23806
194	1910	23800
195	1921	23802
196	1932	23805
197	1942	23801
198	1951	23786
199	1962	23785
200	1971	23771
201	1981	23761
202	1991	23755
203	2002	23750
204	2012	23747
205	2022	23738
206	2031	23726
207	2042	23720
208	2051	23703
209	2061	23698
210	2072	23705
211	2082	23698
212	2092	23683
213	2102	23679
214	2112	23674
215	2122	23658
216	2131	23644
217	2142	23642
218	2151	23631
219	2161	23620
220	2172	23621
221	2182	23610
222	2191	23599
223	2200	23580
224	2211	23575
225	2221	23571
226	2232	23569
227	2242	23565
228	2251	23548
229	2261	23538
230	2271	23531
231	2282	23528
232	2292	23526
233	2302	23518
234	2312	23512
235	2322	23496
236	2330	23475
237	2340	23465
238	2350	23454
239	2359	23437
240	2369	23429
241	2379	23421
242	2390	23419
243	2400	23418
244	2411	23416
245	2422	23413
246	2433	23417
247	2442	23400
248	2452	23390
249	2461	23376
250	2471	23368
251	2481	23361
252	2492	23360
253	2502	23347
254	2512	23343
255	2521	23325
256	2530	23303
257	2540	23295
258	2549	23280
259	2559	23275
260	2569	23267
261	2579	23253
262	2590	23251
263	2599	23239
264	2607	23213
265	2618	23215
266	2628	23203
267	2639	23204
268	2649	23197
269	2660	23195
270	2669	23174
271	2678	23163
272	2688	23152
273	2699	23152
274	2708	23132
275	2718	23128
276	2728	23122
277	2739	23115
278	2748	23101
279	2759	23099
280	2769	23096
281	2780	23088
282	2790	23086
283	2800	23075
284	2810	23068
285	2821	23066
286	2830	23046
287	2840	23041
288	2850	23029
289	2860	23021
290	2870	23011
291	2879	22998
292	2889	22987
293	2900	22985
294	2909	22972
295	2918	22956
296	2929	22950
297	2939	22943
298	2949	22931
299	2959	22924
300	2966	22896
301	2976	22881
302	2985	22870
303	2995	22858
304	3005	22848
305	3013	22826
306	3023	22822
307	3035	22823
308	3045	22816
309	3054	22803
310	3064	22795
311	3074	22784
312	3084	22776
313	3094	22766
314	3104	22753
315	3114	22747
316	3123	22731
317	3132	22718
318	3141	22698
319	3151	22690
320	3161	22678
321	3170	22669
322	3180	22659
323	3190	22651
324	3201	22647
325	3208	22614
326	3217	22602
327	3226	22584
328	3235	22569
329	3245	22563
330	3255	22552
331	3266	22548
332	3276	22539
333	3285	22526
334	3294	22513
335	3304	22500
336	3314	22495
337	3325	22489
338	3335	22483
339	3342	22452
340	3351	22438
341	3361	22427
342	3370	22414
343	3380	22407
344	3389	22391
345	3400	22385
346	3410	22377
347	3420	22372
348	3429	22357
349	3439	22346
350	3449	22335
351	3458	22325
352	3468	22314
353	3477	22300
354	3487	22289
355	3498	22286
356	3506	22267
357	3516	22259
358	3527	22254
359	3537	22246
360	3548	22244
361	3558	22238
362	3569	22234
363	3579	22222
364	3589	22215
365	3599	22206
366	3610	22202
367	3620	22194
368	3629	22183
369	3639	22173
370	3649	22165
371	3658	22148
372	3668	22136
373	3677	22126
374	3687	22113
375	3696	22102
376	3705	22085
377	3715	22077
378	3725	22069
379	3735	22057
380	3746	22053
381	3756	22047
382	3766	22037
383	3775	22023
384	3785	22016
385	3795	22004
386	3805	21995
387	3815	21985
388	3823	21970
389	3833	21961
390	3843	21951
391	3853	21942
392	3862	21926
393	3871	21914
394	3881	21901
395	3890	21891
396	3901	21886
397	3913	21887
398	3923	21878
399	3933	21868
400	3943	21859
401	3953	21850
402	3962	21836
403	3970	21815
404	3980	21809
405	3991	21807
406	4001	21798
407	4011	21787
408	4020	21773
409	4030	21765
410	4041	21763
411	4052	21757
412	4063	21752
413	4073	21742
414	4082	21730
415	4092	21720
416	4102	21712
417	4111	21699
418	4122	21694
419	4132	21687
420	4142	21677
421	4152	21666
422	4161	21655
423	4172	21649
424	4181	21636
425	4191	21625
426	4201	21619
427	4210	21605
428	4221	21597
429	4229	21581
430	4239	21573
431	4249	21560
432	4258	21548
433	4267	21534
434	4277	21525
435	4288	21519
436	4298	21511
437	4308	21501
438	4317	21486
439	4326	21476
440	4338	21474
441	4346	21455
442	4356	21450
443	4367	21442
444	4376	21432
445	4385	21417
446	4395	21407
