aircraft_type,seats_min,seats_max,cargo_capacity,stall_vel_knots,oew_kg,mtow_kg,range_km,max_fuel_kg,cruise_kmph
A20N,140,180,37.4,89,44300,79000,6500,19160,833
A21N,185,240,51.9,95,50100,97000,7400,18870,833
A310,190,280,113,95,77400,164000,9540,47940,850
A319,120,150,27,88,40800,75500,6940,24250,829
A320,140,180,37.4,92,42600,78000,6100,21850,829
A321,185,236,51.9,95,48500,93500,5900,24120,829
A332,246,406,155,99,120600,242000,13450,109185,871
A333,277,440,171,98,129400,242000,11750,109185,871
A343,295,440,202,99,131000,276500,13500,110400,871
A359,300,350,177,99,142400,283000,15372,110500,903
AT76,68,78,17.5,65,13010,22800,1400,5000,510
B38M,162,210,45.3,88,45070,82600,6500,20726,839
B39M,178,220,53,94,48000,88300,6100,20726,839
B737,126,149,32.6,92,37648,70080,5570,20900,834
B738,162,189,44.1,92,41413,79016,5436,20900,842
B739,178,220,53,93,44677,85139,5460,23830,844
B752,200,239,51.6,98,58440,115660,7250,9230,854
B763,218,350,117.5,99,90000,186900,11070,73400,900
B772,314,396,161.5,108,138100,297550,13080,137460,892
B773,368,451,202.7,109,160530,299370,11165,137460,892
B77W,396,550,201.7,109,167829,351533,13649,145538,892
B788,210,248,136.7,97,120000,227900,13530,101343,903
B789,242,296,153,99,129000,254700,14010,101522,903
BCS1,100,120,28.6,84,35220,63100,6700,17600,829
BCS3,130,160,30.4,83,37080,70900,6300,17600,829
C56X,7,9,0,70,5806,9163,3441,3000,816
CRJ9,76,90,14.5,80,21845,38330,2871,8888,829
E190,96,114,19.2,85,27837,51800,4537,12971,829
E195,108,124,21,85,28667,52290,4260,12971,829
E290,114,132,20,88,33000,56400,5280,13690,833
