,raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover.1,cloud_base_ft_agl.1,sky_cover.2,cloud_base_ft_agl.2,sky_cover.3,cloud_base_ft_agl.3,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
0,UUDD 091252Z 36004MPS 340V040 5000 BR OVC004 07/06 Q1013 R32L/CLRD60 NOSIG,UUDD,2024-10-09T12:52:00Z,55.409,37.906,7.0,6.0,360,8.0,,3.11,29.91,,,,,,True,,,,BR,OVC,400.0,,,,,,,LIFR,,,,,,,,,,,,SPECI,165.0
1,KTPL 091251Z AUTO 00000KT 10SM CLR 14/09 A3006 RMK AO2 SLP171 T01390089,KTPL,2024-10-09T12:51:00Z,31.157,-97.4094,13.9,8.9,0,0.0,,10+,30.06,1017.1,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,206.0
2,KOCF 091251Z 05007KT 10SM -RA FEW011 BKN060 BKN075 23/22 A2984 RMK AO2 SLP103 P0001 T02280222,KOCF,2024-10-09T12:51:00Z,29.1636,-82.221,22.8,22.2,50,7.0,,10+,29.84,1010.3,,,True,,,,,,-RA,FEW,1100.0,BKN,6000.0,BKN,7500.0,,,VFR,,,,,,0.01,,,,,,METAR,24.0
3,KMPV 091251Z AUTO 00000KT 10SM CLR 06/05 A2989 RMK AO2 SLP131 T00610050,KMPV,2024-10-09T12:51:00Z,44.205,-72.5655,6.1,5.0,0,0.0,,10+,29.89,1013.1,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,336.0
4,KLWB 091251Z 20003KT 10SM CLR 06/05 A3010,KLWB,2024-10-09T12:51:00Z,37.8633,-80.3923,6.0,5.0,200,3.0,,10+,30.1,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,702.0
5,KLGU 091251Z AUTO 00000KT 10SM CLR 06/06 A3016 RMK AO2 SLP181 T00610056,KLGU,2024-10-09T12:51:00Z,41.7865,-111.852,6.1,5.6,0,0.0,,10+,30.16,1018.1,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1359.0
6,K2W6 091251Z AUTO 23005KT 10SM SCT002 14/10 A3002 RMK AO1,K2W6,2024-10-09T12:51:00Z,38.315,-76.55,14.0,10.0,230,5.0,,10+,30.02,,,True,True,,,,,,,SCT,200.0,,,,,,,VFR,,,,,,,,,,,,METAR,40.0
7,CYKP 091251Z AUTO 32008KT 1/2SM -RA VV005 03/ A3009 RMK DP MISG SLP199,CYKP,2024-10-09T12:51:00Z,51.659,-85.901,3.0,,320,8.0,,0.5,30.09,1019.9,,True,,,,,,,-RA,OVX,0.0,,,,,,,LIFR,,,,,,,,,,,500.0,SPECI,181.0
8,CYDL 091251Z AUTO 08003KT 350V110 5/8SM BR SCT001 BKN220 OVC240 M02/M02 A2970 RMK SLP086,CYDL,2024-10-09T12:51:00Z,58.426,-130.025,-2.0,-2.0,80,3.0,,0.63,29.7,1008.6,,True,,,,,,,BR,SCT,100.0,BKN,22000.0,OVC,24000.0,,,LIFR,,,,,,,,,,,,SPECI,804.0
9,CYAT 091251Z AUTO 32007KT 5SM BR BKN019 OVC030 05/05 A3000 RMK SLP160,CYAT,2024-10-09T12:51:00Z,52.927,-82.432,5.0,5.0,320,7.0,,5,30.0,1016.0,,True,,,,,,,BR,BKN,1900.0,OVC,3000.0,,,,,MVFR,,,,,,,,,,,,SPECI,4.0
10,UUOK 091250Z 30002MPS 9999 OVC015 11/09 Q1014 R30/090060 NOSIG RMK QFE741/0989,UUOK,2024-10-09T12:50:00Z,51.751,36.297,11.0,9.0,300,4.0,,6+,29.94,,,,,,True,,,,,OVC,1500.0,,,,,,,MVFR,,,,,,,,,,,,SPECI,203.0
11,TJBQ 091250Z 00000KT 10SM SCT040 30/24 A2998,TJBQ,2024-10-09T12:50:00Z,18.494,-67.128,30.0,24.0,0,0.0,,10+,29.98,,,,,,,,,,,SCT,4000.0,,,,,,,VFR,,,,,,,,,,,,METAR,69.0
12,PKMR 091250Z 13002KT 15SM FEW015 SCT050 BKN120 OVC300 28/24 A2980 RMK SLP093 T02830244,PKMR,2024-10-09T12:50:00Z,7.09,171.383,28.3,24.4,130,2.0,,15,29.8,1009.3,,,,,,,,,,FEW,1500.0,SCT,5000.0,BKN,12000.0,OVC,30000.0,VFR,,,,,,,,,,,,METAR,7.0
13,NSTU 091250Z 11012KT 10SM SCT016 BKN040 BKN100 27/24 A2989 RMK SLP122 T02670242,NSTU,2024-10-09T12:50:00Z,-14.337,-170.721,26.7,24.2,110,12.0,,10+,29.89,1012.2,,,,,,,,,,SCT,1600.0,BKN,4000.0,BKN,10000.0,,,VFR,,,,,,,,,,,,METAR,8.0
14,MMGA 091250Z E02003KT 10SM SKC ///// A//// RMK ISOL AC RTS,MMGA,2024-10-09T12:50:00Z,-99.99,-99.99,,,20,3.0,,10+,0.0,,,,,,,,,,,SKC,,,,,,,,VFR,,,,,,,,,,,,METAR,9999.0
15,LWSK 091250Z VRB02KT 9999 FEW050 SCT100 23/14 Q1012 NOSIG,LWSK,2024-10-09T12:50:00Z,41.952,21.627,23.0,14.0,VRB,2.0,,6+,29.88,,,,,,True,,,,,FEW,5000.0,SCT,10000.0,,,,,VFR,,,,,,,,,,,,METAR,232.0
16,LWOH 091250Z 16009KT 130V190 9999 FEW014 SCT049 20/15 Q1015,LWOH,2024-10-09T12:50:00Z,41.181,20.744,20.0,15.0,160,9.0,,6+,29.97,,,,,,,,,,,FEW,1400.0,SCT,4900.0,,,,,VFR,,,,,,,,,,,,METAR,700.0
