station_id,observation_time,wind_direction,wind_speed,wind_gust,visibility_meters
MGGT,010000Z,,,,
MPTO,010000Z,,,,
MPDA,010000Z,,,,
TFFF,010000Z,80.0,9.0,0.0,
FMMI,010000Z,,,,
FNLU,010000Z,,,,
SABE,010000Z,,,,
OEDF,010000Z,,,,
OEJN,010000Z,,,,
OERK,010000Z,,,,
MHRO,010000Z,,,,
SKSP,010000Z,,,,
OJAI,010000Z,,,,
OJAM,010000Z,,,,
OJAQ,010000Z,,,,
OPKC,010000Z,,,,
CWZV,010000Z,,,,
OPSK,010000Z,,,,
SAWE,010000Z,,,,
SAWH,010000Z,,,,
MGTU,010000Z,,,,
KPO1,010000Z,250.0,7.0,0.0,16093.4
ORSU,010000Z,,,,
YPTN,010000Z,320.0,18.0,28.0,9999.0
OEAB,010000Z,,,,
YSNF,010000Z,110.0,18.0,28.0,3100.0
LDOS,010000Z,,,,
NFFN,010000Z,,,,9999.0
LDSP,010000Z,,,,4000.0
NCRK,010000Z,50.0,4.0,0.0,
NFNA,010000Z,,,,9999.0
OEDR,010000Z,,,,
OEMA,010000Z,,,,
OMAL,010000Z,,,,
ORBI,010000Z,,,,
OMDB,010000Z,,,,
SAAR,010000Z,,,,
CWRU,010000Z,310.0,10.0,0.0,
SAEZ,010000Z,,,,
SARF,010000Z,,,,
SANT,010000Z,,,,
SARC,010000Z,,,,
SARI,010000Z,,,,
SASA,010000Z,,,,
SASJ,010000Z,,,,9999.0
SAZM,010000Z,,,,
MDCY,010000Z,,,,
MDJB,010000Z,,,,
MDPC,010000Z,,,,
METAR,MDPP,0.0,0.0,0.0,9999.0
MDBH,010000Z,,,,
MDLR,010000Z,,,,
MGCB,010000Z,,,,
MDST,010000Z,,,,
MGES,010000Z,,,,
MGHT,010000Z,,,,
MGPB,010000Z,,,,
MGQZ,010000Z,,,,
MGZA,010000Z,,,,
MHLC,010000Z,,,,
MHLM,010000Z,,,,
MHTG,010000Z,,,,
MYGF,010000Z,,,,
MYNN,010000Z,,,,
SVMI,010000Z,,,,
MRLB,010000Z,,,,
MRLM,010000Z,,,,
MROC,010000Z,,,,
MRPV,010000Z,,,,9999.0
SOCA,010000Z,0.0,0.0,0.0,9999.0
SYCJ,010000Z,,,,
SPCL,010000Z,,,,
SPQT,010000Z,,,,8000.0
SPRU,010000Z,,,,
SPST,010000Z,,,,
SPME,010000Z,,,,
SPQU,010000Z,,,,100.0
SPSO,010000Z,,,,8000.0
SPTN,010000Z,,,,
SKBO,010000Z,,,,
SPZO,010000Z,,,,
FMCZ,010000Z,30.0,5.0,0.0,
NGTA,010000Z,,,,
NCPY,010000Z,30.0,16.0,0.0,
NCAI,010000Z,70.0,2.0,0.0,
SBBR,010000Z,,,,
KQFB,010000Z,70.0,1.0,0.0,8000.0
VOML,010000Z,,,,
WAJJ,010000Z,,,,
WIII,010000Z,,,,
YCIN,010000Z,260.0,13.0,0.0,9999.0
NCRG,010000Z,,,,
NVSS,010000Z,,,,
NVVV,010000Z,,,,
WSAP,010000Z,,,,
UBBG,010000Z,,,,
UBBN,010000Z,,,,
UBBY,010000Z,,,,
MGMT,010000Z,,,,
KFTN,010000Z,160.0,4.0,0.0,16093.4
METAR,AGGH,290.0,9.0,0.0,9999.0
OBBI,010000Z,,,,
VNKT,010000Z,,,,
OMDW,010000Z,,,,
MPPA,010000Z,,,,
NSFA,010000Z,,,,
TUPJ,010000Z,,,,
TBPB,010000Z,,,,
MGMM,010000Z,,,,
KQEN,010000Z,250.0,9.0,21.0,9999.0
KQEJ,010000Z,50.0,1.0,0.0,3200.0
KQEI,010000Z,110.0,1.0,0.0,2800.0
KQEQ,010000Z,120.0,1.0,0.0,3200.0
KQEW,010000Z,200.0,4.0,11.0,4800.0
KQEP,010000Z,0.0,0.0,0.0,4000.0
OMSJ,010000Z,,,,8000.0
NFTV,010000Z,,,,
ORER,010000Z,,,,
KEDU,010000Z,350.0,13.0,17.0,6437.36
KAVK,010000Z,170.0,5.0,0.0,16093.4
K2W6,010000Z,200.0,3.0,0.0,8046.7
KATP,010000Z,90.0,4.0,0.0,16093.4
KNXF,010000Z,,,,
HAAB,010000Z,,,,
HECA,010000Z,,,,
SCCH,010000Z,360.0,6.0,0.0,
SCCY,010000Z,220.0,6.0,0.0,
SCEL,010000Z,,,,
LBBG,010000Z,240.0,7.0,0.0,4600.0
LBPD,010000Z,,,,7000.0
LBWN,010000Z,290.0,3.0,0.0,7000.0
